imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt0443649,"10,000 BC",2008,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel",8,34,"$104,776,484",Steven Strait,m
tt0427229,Failure to Launch,2006,"Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha",24,47,"$104,695,998",Matthew McConaughey,m
tt0990407,The Green Hornet,2011,"Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson",43,39,"$104,503,370",Seth Rogen,m
tt0454848,Inside Man,2006,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer",86,76,"$104,341,896",Denzel Washington,m
tt1135503,Julie & Julia,2009,"Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina",75,66,"$104,337,070",Meryl Streep,f
tt0212720,A.I. Artificial Intelligence,2001,"Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas",73,65,"$104,278,182",Haley Joel Osment,m
tt3063516,Bad Grandpa,2013,"Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates",60,54,"$104,164,409",Johnny Knoxville,m
tt1001508,He's Just Not That Into You,2009,"Morgan Lily, Trenton Rogers, Michelle Carmichael, Jasmine Woods",40,47,"$104,115,312",Morgan Lily,m
tt1261945,Sex and the City 2,2010,"Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall",15,27,"$103,966,139",Sarah Jessica Parker,f
tt1663662,Pacific Rim,2013,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",72,64,"$103,960,165",Charlie Hunnam,m
tt0492956,The Game Plan,2007,"Dwayne Johnson, Madison Pettis, Kyra Sedgwick, Roselyn Sanchez",29,44,"$103,839,832",Dwayne Johnson,m
tt1245492,This Is the End,2013,"James Franco, Jonah Hill, Seth Rogen, Jay Baruchel",83,67,"$103,653,799",James Franco,m
tt0324216,The Texas Chainsaw Massacre,2003,"Jessica Biel, Jonathan Tucker, Erica Leerhsen, Mike Vogel",36,38,"$103,567,123",Jessica Biel,f
tt0277434,We Were Soldiers,2002,"Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott",63,65,"$103,301,723",Mel Gibson,m
